planning	zh2n-retro	none	总结	整体来看，这个迭代跑得还算顺利，当初在会上承诺的两个功能都按时交付了，中间虽然遇到一些小的插曲和几次临时插入的线上问题，但没有真正影响到最终的节奏，速度在两个星期里保持得比较平稳，没有出现大起大落的情况。回顾会上大家的反馈也比较一致，都认为现在这样的协作方式基本合适，没有暴露出明显的阻塞点，也没有人提出非改不可的痛点。因此下一个迭代就继续沿用同样的节奏和产能安排，需求的口径、估分的方式以及评审的流程都保持不变，暂时不需要引入任何新的流程或者工具，稳定本身就是一种价值。
teaching	zh2n-recap	none	总结	我们来简单回顾一下今天讲过的内容：图无非就是一堆节点，加上连接它们的那些边，所谓遍历，说到底就是决定按照怎样的顺序去访问这些节点；而深度优先和广度优先之间的区别，主要在于选择哪种工具去应对哪种形状的问题，前者更适合探路和回溯，后者更适合在无权图上找最短路径。如果这几个要点你已经清楚明白了，那么接下来的那一整套练习题你完全有能力独立完成，可以先自己动手做一遍，遇到卡住的地方再回过头去翻讲义，不必急着去对答案。
debugging	zh2n-closing	none	总结	一句话收尾：这次故障的起因是重试的次数被配置得过于宽松，导致下游被打爆之后又自我放大了一轮流量，形成了正反馈；我们如今已经把它改回了一个合理的数值，并额外补上了一道熔断作为兜底，现在监控大屏上又重新恢复了久违的绿色。修复的版本已经推到了所有的区域，灰度观察期间也没有再看到任何新的异常，相关的日志和指标都陆续回归到了平常的区间。接下来只需要把这次事故的复盘记录下来，补充进值班手册，就可以把这个工单正式关闭了，不需要再安排额外的跟进。
coding	zh2n-backpressure	none	等待	当消息队列被彻底填满的时候，生产者正确的做法既不是继续往里硬塞消息，更不是悄悄地把溢出的那部分丢掉，而是应该暂时停下来，等待队列里出现一个可用的空位之后再继续投递。这种由消费者的实际处理速度反向约束生产者的机制，就是我们通常所说的背压，它能够在流量突然暴涨的时候保护消费者，使它不至于被一瞬间涌入的消息所压垮，同时也保证了没有任何一条消息会在中途被无声无息地丢弃，端到端的顺序也因此得以完整保持。这样做唯一的代价，是生产端偶尔会被短暂地阻塞一下，但对于一个把可靠性放在第一位的系统而言，这点可控的等待完全是值得的，远好过事后费力地去补数据和逐笔对账。
planning	zh2n-handoff	none	等待	我会先等待设计评审正式结束，并且把每一条评审意见都逐条确认、形成闭环之后，再去下一个迭代里预订实现阶段的排期，只有这样做出来的估算和承诺日期才是稳定的，不会因为设计在评审中被大幅推翻而全部作废、推倒重来，也能让所有参与的人都清楚地知道边界究竟在哪里。在设计正式定稿并签字之前，与其急匆匆地开工然后不停地返工，不如耐心地多等待几天，把该确认的前提、该对齐的口径都提前确认清楚。表面上看起来像是白白耽误了几天，实际上却省下了后面大量的沟通成本和重做成本，整体上反而能够更快、更稳地把事情真正做完做好。
analysis	zh2n-data-ready	none	等待	经营报表在正式生成之前，必须等到上游各家的结算文件全部到齐，哪怕只缺其中一家，最后的汇总金额就对不齐，整张表也就失去了参考价值，甚至可能把决策引向错误的方向。因此，调度器会通过一个就绪标记来判断文件是否已经齐全，如果发现还差那么一两份，它会自动把整个任务推迟一个小时之后再重新尝试，而不是贸然地先跑起来再说。这样的机制虽然偶尔会让报表晚出来一会儿，但换来的却是数字的准确和最终的可信，业务方拿到手就可以直接使用，不必再花大把时间去逐行核对，从长远来看，这点等待完全是划算的。
teaching	zh2n-pause	none	等待	每当讲完一个关键的部分，我都会稍微停下来，等一等大家把刚才的内容在脑子里重新过一遍，看看有没有人想举手提问，确认大多数人确实都跟上了节奏，然后再继续往后讲新的内容。这个短暂的停顿并不是在走过场，也不是为了拖延课堂时间，而是因为学生一旦在这里卡住了却没有勇气说出来，那么后面越来越抽象、层层递进的推导就会彻底听不进去，最终整节课都白白浪费掉。所以在每一次讲到重要的转折点时，我都会主动留出一两分钟，鼓励他们把哪怕看起来很幼稚的疑问都抛出来，往往正是这些不起眼的问题，暴露了最值得当场展开讲清楚的那个核心概念。
debugging	zh2n-lock-contention	none	等待	两个写事务如果总是按照相反的顺序去更新同一批数据行，就会不可避免地在这批行上互相等待对方已经持有的锁，从而形成一个谁也无法继续前进的循环，最终直到数据库所设定的等待时间耗尽，把其中一个事务强行回滚掉才算结束。要想彻底打破这个循环，其实并不困难，只要规定所有事务都统一按照主键的升序去更新数据，那么先拿到锁的那一个就一定能够把活干完，后来的那一方只需要短暂地等待片刻便能接着往下走，不可能再出现彼此僵持、谁也动不了的僵局。我们把更新顺序统一调整过来之后，线上的死锁告警就再也没有响起过，系统也重新恢复了平静。
coding	zh2n-conditional-compile	none	其实	其实这段条件编译的写法是这样的：它会随着目标平台的不同，展开成两套完全不一样的代码，在移动端保留裁剪过的那一支，只留下最必要的功能，在桌面端则启用功能更完整的那一支，中间靠一组预定义的宏来区分。只要你理解了这层展开的规则，再回过头去看那段乍一看有些古怪的源码，就不会再被满屏的井号指令绕得头晕脑胀了。以后遇到只在某一个平台上才会冒头的 bug，你也能很快猜到应该钻进哪一个分支里去找原因，而不必像以前那样盲目地在错误的地方反复添加日志，白白浪费大量时间。
planning	zh2n-assumption	none	其实	其实我们排期时默认的一个前提是，这两位人力在整整两个星期里都能全职投入，不会被临时的线上故障或者其他团队的支援请求半路抽走；一旦中途有人被调去救火，那么所有依赖他的任务就都得顺延，交付的日期也会跟着一起往后挪动。我之所以要把这条假设明明白白地写进排期表里，就是为了让评审的时候，大家一眼就能看到风险究竟挂在什么地方，一旦人力真的发生了变化，我们可以第一时间调整计划、重新排序，而不是等到临近交付日才发现根本做不完，到那时再想补救，往往就已经来不及了。
coding	zh2n-queue-backpressure	none	等待	当消息队列接近填满的时候，生产者最稳妥的做法不是继续往里硬塞、也不是悄悄丢弃溢出的消息，而是暂时挂起，等待一个空位重新出现之后再恢复投递；这种由消费者处理速度反向约束生产者的机制就是背压。它可以在流量突增的时刻保护消费者不被压垮，也保证端到端的顺序和消息的完整性，代价只是生产端偶尔被短暂阻塞。
planning	zh2n-design-handoff	none	等待	我会等待设计评审全部结束、评审意见都闭环之后，再去下个迭代预订实现的排期，这样得出的估算和日期才稳定，不会因为设计被推翻而推倒重来。等设计定稿签字，范围就不再变化，我们可以有把握地把日期承诺出去，也能让参与的人清楚边界。在此之前，与其急着开工再返工，不如耐心等待，把该确认的前提先确认清楚，反而更省时间。
analysis	zh2n-data-ready2	none	等待	报表生成之前必须等到上游结算文件全部到齐，少一家金额就对不齐，整张表也失去意义。调度器通过就绪标记判断文件是否齐全，若差一两份就把任务自动推迟一小时再试，而不是贸然先跑。这样虽偶尔让报表晚出，但换来数字准确可信，业务方拿到就能直接用，不必再花时间核对，长远看这点等待是划算的。
teaching	zh2n-pause-questions	none	等待	讲完一个关键部分，我会停下来等一等大家消化，看看有没有人想提问，确认多数人跟上了再继续。停顿不是走过场，而是因为学生一旦在这里卡住却不说，后面越来越抽象的推导就彻底听不进去，整节课都白费。所以讲到转折点我都会留出一两分钟，鼓励他们提出问题，往往正是这些问题暴露了最该讲清楚的概念。
debugging	zh2n-lock-wait	none	等待	两个写事务若按相反顺序更新同一批行，就会在这些行上互相等待对方持有的锁，形成谁也无法前进的循环，直到数据库等待超时回滚其中一个才结束。要打破它很简单：规定所有事务都按主键升序更新，先拿到锁的一方必定能干完，后来者只需短暂等待便能继续，不会再出现僵局。我们统一顺序后，死锁告警再没响过，线上也恢复了平静。
